Review,Rating
"Simple, fast and true to their word.",1
"Ask when my contract expired. Had only begun in May and I asked if it was a good contact to which he replied yes. However, he then went into the details of how good my contract was and when I should look at renewing it again in Nov or Dec of 2023. He was specific and knowledgeable and this he shared with me and I'm hoping for another ""good"" contract in the year to come. Thank you",1
well described parts with simple navigation enabled easy confirmation that they were compatible,1
Very prompt with the delivery . Easy to fix . Great price .,1
"Had an account for around 5 years , no issues",1
Well packed parcel so my purchase wouldn't get damaged and was processed and dispatched quickly thank you.,1
The process is set up in such a way that anyone can use it. The response is prompt and timely. Communication is good.Great experience,1
"Excellent service, next day delivery.",1
"Delivery was on time kept me informed,the sales assistant was very helpful nothing to much for all the people involved,",1
Worked first time - very happy with increase in speed of response,1
"Piotr R was very knowledgeable, dealt with my query and change in a timely manner and was very polite throughout.",1
"Very good staff, thanks for everything!!!",1
I found the online offers very good. The purchase was easy. The refurbished iPhone arrived within 48hrs and is in excellent condition and functions well,1
"Excellent advice to help choose a desktop for my daughter. Good updates as the desktop was being built and arrived safely. Easy to set up. All in all a good experience, and is our third desktop from PC Specialist.",1
"This is my second purchase of this mower, I am now 78 yrs of age and I find it suited to me, easy to use, light in weight no pressure and I highly recommend it.
I am very pleased with my purchase.",1
Fast delivery every time I order from here and great quality,1
The right part delivered on time.,1
Bt and sky are the best we've had no issues with bt there customer service are alway helpfull you do get your money's worth with bt I couldn't fault them in any way when you have a problem there engineers and customer service they sort it straight away sometimes on the same day or the day after keep up the good work bt I would recommend you guys to everyone,1
"Easy to order, and delivered the next day.",1
"Spoke to a man called kayden
Got to say the most helpful person ever,absolutely excellent and a credit to the company very informative and great manner about him. Give the man a pay rise",1
Easy to use website and great delivery options. Good price too!,1
"Price was, right shipping prompt.",1
Got a great deal on my new phone. Good knowladge from all staff,1
"The Web site is very easy to navigate with full details of the products. All the reviews for the TV I ordered were very positive. Ordering and payment very easy, delivery was within two days. Order arrived on the day and time given with a call from the driver to inform me when only five-minute away. Highly recommended.",1
Lovely photos and very easy to use thankyou,1
Abdul was fantastic over the phone. Sorted my upgrade and the phone was delivered the next day. Fantastic service!,1
"Excellent service, worked straight away",1
"After having a terrible time trying to get through to your customer service help line ( which is shockingly terrible and deserves zero stars) I went into your wellingborough store and have to say Karl was exceptionally helpful and sorted everything thing out.
He gave excellent customer care and is a credit to your company, I wish I could say the same of your online support staff.",1
"Have bought stuff of Wex before, they’re always very prompt with delivery as they were in this case.",1
It was pleasure to order through the website. Found the best and affordable deal. Easy and quick without hesitation.,1
"Fast delivery really impressed.
Definitely use again",1
"nothing in particular, good price, good product availability, good quality, we were given heads up when delivery was delayed by just a few days, and even offered a voucher of £10 because of that. As we were in no rush, it was only a nice discount, much appreciated.",1
All along the process I have been given advice and help in choosing my new TV.,1
"I love my new TalkTalk contract, it's cheap, affordable, smooth and you never get bored.",1
Very speedy delivery. Good price.,1
