Review,Rating
"Really easy to use, great pricing. Received money in a few days. Fully recommend",1
Great deal. Website easy to navigate. Phone arrived next day.,1
I like studio because it has a wide variety of products to look at the only downfall l have is that there is no catalogue to look at I like looking through them they are easy to look at than keep using the table thanks from pam,1
This app is amazing. It is so helpful and easy to navigate. I look forward to the many opportunities.,1
"Good quality and size is best for wall calendar, highly recommended",1
Love love love my hairdryer wouldn’t use any other,1
Great value and service. Good new eco wrapper.,1
Brilliant price great product just as described great customer service,1
"Another faultless performance from FFX - great price, great service and delivered in a flash!",1
Excellent service. quick and easy to resolve the problem. Couldnt fault the service.,1
Hassle free ordering with a great delivery service. Guys were very careful and polite.,1
super easy instructions to send the device and then in less than a week of arrival i got payment! so easy would definitely use again,1
Easy to use platform and lovely end product. Have used many times.,1
"Good price, super quick delivery! what’s not to like!",1
Ordered online next day delivery goods arrived packaged great. Grass strimmer gloves and safety glasses all great quality thank you so much would high recommend G Tech to others,1
"Excellent price,turned up on the day and time as arranged,very pleased with purchase.",1
This is the first time that I have used a ghd product. I have always been put off by the price. You certainly get what you pay for. I am delighted with my straightening brush. So easy to use and it tames my mane in no time at all. This product is great for those who couldn't master ordinary straighteners.,1
Another great mobile phone from Music Magpie.,1
Great price compared to competitors. Speedy delivery and delivers to the IOW great service,1
"Fast and simple transaction, had my money within two days of sending my mobile",1
Gorgeous looking invitations for my sons Christening. Easy to edit online and quick delivery. I opted for the cheaper look rather than paying extra for the glossy paper and they are still excellent quality 👍🏻⭐️,1
Excellent prompt well communicated service.,1
Really helpful and knowledgeable staff that made making my purchase easy and straightforward. Thank you,1
Great product at a reasonable price that arrived very quickly. My RAM came with clear instructions and gave my decade old machine a new lease of life. I couldn't be happier!,1
Dennis K assisted me with my issues and definitely put my mind at rest!,1
Good photo prints and service! Thank you.,1
"Top service, perfect communication",1
"Both Craig D and Ferenc K delivered the Air Fryer within the stated hours.
Craig rang me half an hour before delivery to inform me that he was on his way to my address.
A reliable and honest service.
I would recommend this company for integrity and honesty.
Their customer service is just about brilliant.",1
Tommy & Lee provided a great efficient service. Delivered within timeframe and straight into the house where I wanted it. The whole marks electrical team have been great,1
Quick delivery. Great product. I have a chin length layered bob. It looks like I've had a bouncy blow dry when I use the GHD rise. Highly recommend. Wish they did a hot brush with a smaller barrel for more defined curls for shorter hair because I would purchase that too.,1
Goods in stock and fast and helpful delivery,1
"Friendly helpful staff. The game was slightly dirty, so they went and cleaned it for me. All working fine and greatly appreciated that they got a difficult to find item so quickly.",1
The ordering and delivery service was excellent. I had a fault with the product which was returned and a new one sent to me 2 days later. Well done Richer sounds.,1
"Easy to search, easy to order and, more importantly, delivered to the opposite end of the country within 24 hours. Very efficient! Have used a number of times, will continue to use and will continue to recommend.",1
Super speedy delivery + good price/quality.,1
"I have used Buy Spares before as the reliable supplier of oem parts. Again, on this occasion, I got exactly the part I required. A quick and efficient service that I will continue to use for after-sales oem parts.",1
Super quick delivery and a lovely shiny new (second hand) phone. Very happy!,1
Computer's great and works fine. Waiting time for the computer was the only down side.,1
Always prompt with dispatch and the goods always arrive on time in great condition.,1
Once again musicMagpie do what they say. Quick payment. No problems - excellent service.,1
"Sam was fantastic in helping me purchase my item online, she went above & beyond to help me buy my item, great customer service, happy with my trip to beckton argos",1
"Great battery it was the cheapest we could find ordering was simple and delivery was quick, I would definitely recommend",1
Arrived next day and was processed in couple of hours.,1
"The product, delivery and price 👌👌",1
Seamless ordering and super quick delivery. Ordered in the evening and it was here next day.,1
I absolutely love it I absolutely would recommend it to my friends and family members of whom like these types of products.,1
"Cheaper than the branded battery and git better AMP hours too. Arrived promptly, would recommend",1
Arthur M gave me clear and helpful information and dealt with my enquiry very well,1
"it has been my best experience in London in finding a DJ, Cocktail Company and Balloons for a party. Bark alone singlehandedly helped me plan our Holiday Party. Bark is the place to find a solution to everything and anything under the sun. i was new to the city and the country and even after that i was able to plan a successful party. trust me when i say this, you want to plan a party, wedding or any kind of celebration use Bark and you will find a solution to everything, even if it is last minute. Bark is prompt, responsive, with an extremely user-friendly experience. i actually kind find more words to praise the the team. Kudos and thanks a million for all the help and lovely and a seamless experience. Regards, Sheetal",1
"Ordered easy enough one day, it came the very next day...everything seems to be OK, it is a Christmas present so not opened or up and running yet but so far so good.",1
Phone as advertised in pristine condition and it arrived on time as stated. Good service.,1
"A professional business. Helped me with my order and even recommended different parts to give me the best experience, I have just received my pc not long ago and I can say I'm glad i came across this business.",1
Response was quick and delivery on the allocated day.,1
"It was a very good experience the 2 men where friendly, polite and new there job",1
"Battery easy to select, great price and arrived next day lunchtime. Very good service with lots of order updates. I recommend them for anyone who needs a new battery.",1
Easy ordering over telephone excellent customer service excellent delivery,1
"Really helpful delivery team (Craid D & Co), a real pleasure to deal with - thank you very much for your assistance !",1
"Brilliant customer service, really impressed",1
Very straightforward as always. Thank you.,1
The process of creating my book was really easy. The final quality of what was produced was great - a great experience,1
"Ordered on line, could do with an update. Had to go through steps twice as didn’t work properly first time.
Made a mistake with postcode on new property so contacted customer services who were very helpful.
Delivery was on time and delivery men very helpful.
Positive experience overall.",1
"CD arrived very quickly, was in excellent condition and an exceptionally good price.",1
E spares great as always royal mail now that is another story 12 days from dispatch to delivery,1
"Very easy to arrange an appointment. Kept up-to-date, engineer arrived within the allotted time, was very friendly and fixed the appliance in no time at all.",1
"Excellent service, and rapid delivery.",1
I absolutely love this app! It’s given me such an easy start to start my brand ambassador journey!!,1
"The shelf unit was perfect for a narrow cupboard above my desk.
The corner plate rack didn't interest me at the time of ordering but in fact I've used it in my crockery cupboard and is great for pasta bowls!",1
"I have been a customer with Wex for a while.
Great service every time!
I'll continue to purchase from Wex Photo Video :)",1
"Excellent company to deal with, brilliant service.",1
Fantastic as always! Great high end machines for cad and programming.,1
Ordering was good so I’m being unfair due to the postal dispute going on at the moment it’s actually taken a week for the batteries to come but ordering was easy,1
I mistakenly submitted my reading for electricity as a gas reading and couldn't find a way to correct it. Spoke to an agent Denan online who fortunately was able to sort it very quickly. Asked me to send over a photo of the gas meter and promptly rectified it. Job done. Thank you Denan.,1
Very professional and always answer my questions. outstanding quality of service.,1
"Talk talk sorted out my problem when my phone , stopped working with a very polite & patience Engineer who checked my line and every think he could do , then sent out a engineer to sort it and this Man sorted it out fixed it very nice patient and caring ,took his time to make sure i understood great service .well done talk talk, and the Gentlemen who helped me and fixed my problem nice to see quality service & pleasant staff 10/10",1
Argos is so easy to order online and collect.,1
Easy to order delivered on time and placed in room by drivers,1
Ordered late afternoon and arrived next day . Marvellous. Phone excellent condition,1
great service and price. Prompt delivery !,1
Two companies emailed me almost immediately. I am confirmed with one already for my trip. Told second company I would keep info for further trips.,1
If you wanna make money from home by sitting in your easy chair with your favorite drink this is the app you want.,1
Great product great price excellent service,1
"Quick and easy ordering, really well packed and came sooner than expected 🙂",1
"Amazing customer service
Great prices! Can’t go wrong !",1
"Absolutely fabulous, everything was dealt with quickly and professionally",1
The delivery was on time and they put the appliances where I wanted it and it was undamaged,1
"Felt that I have to write a review on the excellent customer service that we received while looked after by Natasha, the Assistant Manager at Carphone Warehouse, Churchill Square, Brighton.
I would like to say that not only Natasha did her best to get us the deal that works best for us, but also the second time we went back to make changes, she was consistent and helpful as always, although we took a lot of her time. She was very informative, very clear, and very pleasant to deal with. We are not technical people but she wrote everything down to make sure we understood. Well done to you and please employ more Natasha's in your company.",1
The price was very good also delivery very quick no messing about would use again,1
I was recommended by a friend said it would be quick & painless,1
"Wex are the 'go-to' UK folks for my big photo purchases, especially when they have offers like the Lumix deals last week. Great service, great price. Thanks. Always reliable....please keep it like that!",1
Heats up incredibly quickly and straightens my hair in a heartbeat. So pleased.,1
Great customer service! Thank you for helping me sort out the order Katie!,1
"Reliable next day delivery.
Text info on expected delivery time which was accurate.",1
"Easy to use page infill, good price and very quick delivery. Oh nice envelopes as well!",1
"After posting with Bark, within 24 hours I received 3 responses from organisations which appear to match my requirements, and have meetings scheduled for the following week.",1
It was quick and easy to do and quick delivery,1
