Company Name,Employer ID
Amazon,6036
IBM,354
Google,9079
Apple,1138
Cognizant Technology Solutions,8014
Shopee,1263091
Microsoft,1651
Tata Consultancy Services,13461
Meta,40772
Infosys,7927
Oracle,1737
Micron Technology,1648
SAP,10471
Dell Technologies,1327
Capgemini,3803
Salesforce,11159
Wipro,9936
Cisco Systems,1425
HCLTech,553909
NCS,138872
Grab,958580
HP Inc.,1093161
Visa Inc.,3035
Bloomberg,3096
Hewlett Packard Enterprise | HPE,1093046
Robert Bosch,3353
TikTok,2230881
DXC Technology,1603125
PayPal,9848
Qualcomm,640
Intel Corporation,1519
Autodesk,1155
VMware,12830
NTT DATA,7649
LinkedIn,34865
Thomson Reuters,100303
Honeywell,28
ByteDance,1624196
Amazon Web Services,7470741
Nielsen,3776
Tech Mahindra,135932
Genpact,42613
Seagate Technology,1864
Booking.com,256653
NTT Ltd.,12228
HubSpot,227605
AMD,15
FDM Group,234827
Avanade,11701
foodpanda,709546
EPAM Systems,15544
Fujitsu,3524
Expedia Group,9876
Indeed,100561
Concentrix,31549
Equinix,11296
Atos,10686
Adobe,1090
X,100569
NEC Corporation,3532
Thoughtworks,38334
Rakuten,40197
Red Hat,8868
ST Electronics (Singapore),255115
Sopra Steria,466295
Yahoo,5807
Synapxe,454697
Zendesk,360923
Airbnb,391850
Singapore Press,5855
Luxoft,116344
Amadeus,6940
Western Digital,1067
Hitachi,3525
Agoda,461386
Garena,532331
Deliveroo,1053365
Virtusa,29396
Tencent,38281
Lumen,248324
Ricoh,21210
CSC,169
UST,155577
ServiceNow,403326
DONE by NONE,619738
Lenovo,8034
Ingram Micro,5794
Workday,197851
Citrix,5432
Gojek,1282114
Tripadvisor,15276
Netflix,11891
Meltwater,305399
Gemalto,35090
Sabre,6269
Marvell Technology,11761
Xilinx,2063
Motorola Solutions,427189
NielsenIQ,4796509
SAS,3807
NCR,4212
Nutanix,429159
Stripe,671932
Amdocs,8418
Binance,1816824
NetApp,5406
Shopify,675933
Hitachi Vantara,1802134
Infinite Computer Solutions,14202
Optimum Solutions,382332
CrimsonLogic,32313
Pactera,231432
Nityo Infotech,232694
SITA,8631
Diebold Nixdorf,201
Avaya,12121
Cloudflare,430862
Tata Communications,6769
Intuit,2293
Uber,575263
Palo Alto Networks,115142
Razer,431801
BMW Group,3460
ADP,64
Datadog,762009
Delivery Hero,504556
Murex,145513
PCCW,11479
XYZ,377428
Asurion,16924
eBay,7853
F5,9222
Mphasis,29275
Unity,455854
Dassault Systèmes,6162
Teradata,14638
SS&C,6022
Groupon,301291
Criteo,426672
OKX,2442097
Alibaba Group,225974
Splunk,117313
Refinitiv,2210284
World Wide Technology,9553
Samsung SDS,39007
Sage,1150
Carousell,988629
ShopBack,1169892
IDEMIA,1835341
BlackBerry,9091
Rohde & Schwarz,12926
Molex,1666
Keywords Studios,463070
Iron Mountain,6774
Konica Minolta Business Solutions,27336
Tata Consultancy Services (North America),23279
DocuSign,307604
Qualtrics,323717
Tableau Software,38125
Civica,35357
Zoom Video Communications,924644
FUJIFILM Business Innovation,14135
Xtremax,938281
ASUS,40093
Logicalis,30518
HERE Technologies,753677
Wolters Kluwer,10497
Micro Focus,15057
Twilio,410790
Sprinklr,427532
Orange Business,2847984
Kyndryl,5905801
Infor,15375
Skyscanner,437400
Akamai,9219
MongoDB,433703
Tech Data,1944
BMC Software,1160
Works Applications,255230
OpenText,5694
Hexaware Technologies,29098
Fortinet,23128
Acronis,152824
Xerox,747
Coforge,36319
Encora,2974657
Zebra Technologies,2089
Veritas Technologies,1093041
Unisys,692
NICE,5674
Moody's,11303
HCL Infosystems,41919
West Technology Group,6504
Darktrace,1059406
Zühlke,451902
Cerner,1242
Motional,3439934
IDC (International Data Corporation),35698
UKG,7900
Informatica,8797
