Company Name,Employer ID
Amazon,6036
Deloitte,2763
Walmart,715
McDonald's,432
Target,194
Infosys,7927
Accenture,4138
IBM,354
Microsoft,1651
Starbucks,2202
Cognizant Technology Solutions,8014
Tata Consultancy Services,13461
Google,9079
EY,2784
The Home Depot,655
PwC,8450
Apple,1138
US Army,41322
Wells Fargo,8876
CVS Health,437
Oracle,1737
Bank of America,8874
Lowe's Home Improvement,415
AT&T,613
JPMorgan Chase & Co,5224839
Wipro,9936
UPS,3012
Qualcomm,640
KPMG,2867
Best Buy,97
Cisco Systems,1425
Verizon,89
Walgreens,716
Intel Corporation,1519
Macy's,1079
US Navy,41451
Capgemini,3803
Meta,40772
Citi,8843
US Air Force,41283
Dell Technologies,1327
Capital One,3736
Enterprise,2783
HCLTech,553909
Salesforce,11159
Teleperformance,9779
Nordstrom,1704
T-Mobile,9302
Goldman Sachs,2800
ADP,64
Kroger,386
SelfEmployed.com,5529631
Morgan Stanley,2282
Kohl's,592
Comcast,1280
Boeing,102
Whole Foods Market,422
State Farm,2990
Chipotle,15228
Lockheed Martin,404
Fidelity Investments,2786
Walt Disney Company,717
PepsiCo,522
YMCA,3046
UnitedHealth Group,1991
US Postal Service,3032
Publix,2945
Kaiser Permanente,19466
Aerotek,18267
SAP,10471
Honeywell,28
Spectrum,1500006
Marriott International,7790
Panera Bread,1493
Subway,2994
Northrop Grumman,488
Costco Wholesale,2590
GE,277
American Express,35
FedEx Ground,16846
US Marine Corps,41423
Tech Mahindra,135932
DXC Technology,1603125
Hewlett Packard Enterprise | HPE,1093046
General Motors (GM),279
Johnson & Johnson,364
Sears,37984
Dollar General,1342
Staples,1909
NIKE,1699
Old Navy,18861
Siemens,3510
GEICO,270
Tesla,43129
Robert Half,1838
Booz Allen Hamilton,2735
McKinsey & Company,2893
PNC Financial Services Group,507
Chick-fil-A,5873
CGI,8452
