text,aspect,sentiment,confidence,probs,ref_sentiment,ref_check,perplexity,global_sentiment
"""Pay, autonomy, plenty of benefits It was hard work in a warehouse. Many days of 15,000+ steps.""",['Global Sentiment'],['Neutral'],[0.9412739276885986],"[array([0.02510282, 0.9412739 , 0.03362325], dtype=float32)]",['-100'],[''],1.0476657152175903,Neutral
"""Really smart people, a lot of opportunity for growth, always encouraged to be innovative, think big, and create something new. Competitive salary and benefits with other major tech companies. 100% self motivating work environment. No dress code and 4 legged friends are welcome. You have to be self motivated. NO ONE will hold your hand and tell you that you're doing a great job. If you need constant affirmations from management, this company isn't for you.""",['Global Sentiment'],['Positive'],[0.9134935736656189],"[array([0.00585564, 0.08065081, 0.9134936 ], dtype=float32)]",['-100'],[''],1.0476123094558716,Positive
"""Jeff Bezos and his """"S-Team"""" are brilliant and continue to make great decisions for long-term growth.   You work with smart people, you work on exciting projects, you are pushed to your limits...which can be rewarding when you accomplish great things. The diversity of the potential work and innovation can be very alluring. I've often called Amazon my """"Sexy Mistress...she's emotionally abusive, but she's so sexy that I go back for more punishment."""" The management process is abusive, and I'm currently a manager. I've seen too much """"behind the wall"""" and hate how our individual performers can be treated. You are forced to ride people and stack rank employees...I've been forced to give good employees bad overall ratings because of politics and stack ranking.""",['Global Sentiment'],['Positive'],[0.9918802380561829],"[array([0.0030836 , 0.00503611, 0.99188024], dtype=float32)]",['-100'],[''],1.047675609588623,Positive
"""Amazon is doing lot's of cool stuff...but lots of boring stuff too. There are really well run teams...and very badly run teams. The experience for software managers and engineers is all over the board, from really run low operational load teams to teams where people burn out after a year.   - Amazon is built, quite deliberately, to be Darwinian. You can generally expect that anyone who's been here for more than 2 years is competent and motivated or they wouldn't have survived. You can count on them as long as your priorities are aligned. There aren't many slackers here, and they don't survive long.  - We work on so much stuff that there's always an opportunity to find amazing cool stuff to work on (note that it's an 'opportunity', one that you have to pursue)  - A chance to make a huge difference  - A place where you can learn a lot about all kinds of things, both technical and about yourself  - Amazon encourages high mobility - even your manager can't prevent you from moving to another team within 6 weeks (normally, more than a few months under unusual conditions).  - Your friends and family have actually heard of the place you work and have at least a vague notion of what Amazon does without you having to explain - You're responsible for",['Global Sentiment'],['Positive'],[0.9222696423530579],"[array([0.06944332, 0.00828694, 0.92226964], dtype=float32)]",['-100'],[''],1.0475573539733887,Positive
"""I've been at Amazon for a month now, and I've seen none of the horror stories being communicated to the public, although Amazon is a large enough company that I'm sure there are good pockets and bad pockets. Everyone here is really smart, and wants to succeed both personally, and as a company. People collaborate and help each other, focus on data, and truly focus on the customer. Every company I've ever worked for talks about how important the customer is, but on day 2, they're forgotten. Amazon seems to genuinely focus on what's best for the customer, and it's awesome to be in meetings where people actually bring that up, and make decisions focused on long-term customer satisfaction.  The opportunities to learn here are literally unlimited, and the opportunity to take on new responsibility is as well. I honestly believe you can be as awesome as you want here. No cons, so far - seriously. Like I said, I'm sure Amazon has some bad pockets in it here and there, but this is an amazing job, an amazing opportunity, and the biggest thing I have to complain about is that it's a little chilly in our building. I can live with that.  Does Amazon demand high quality, measurable results? Yes! Is it hard work? Yes! Is it rewarding? Yes! So I'm not calling that a 'con'. Work/life balance seems comparable to other places I've worked - not worse.""",['Global Sentiment'],['Positive'],[0.9754307866096497],"[array([0.01523075, 0.00933849, 0.9754308 ], dtype=float32)]",['-100'],[''],1.0479121208190918,Positive
"""- You can learn a lot very quickly in a very short time - Surrounded with nothing but incredibly smart and driven individuals. - Compensation is well beyond my expectations, and more than suitable. - Exciting projects all across the company that keep you interested and focused. - Amazon is changing the world - Can be overwhelming, very steep learning curve - Can be difficult to keep up if you are not self motivated""",['Global Sentiment'],['Positive'],[0.7491430044174194],"[array([0.00214984, 0.24870722, 0.749143  ], dtype=float32)]",['-100'],[''],1.0475032329559326,Positive
"""This company gets A list performance from C list employees. The culture is quick and hard charging. You are always working in relevant and meaningful projects. Maybe because the company recruits C listers who have neither merit (intelligence, strategic vision) nor pedigree (academic or professional accomplishments), most of those who become successful do so in treacherous, low cunning ways.  Imagine the Lannisters in Game of Thrones attacking the Starks in Game of Thrones; or Rawls and Burrell attacking McNulty and Daniels in The Wire; or Barrow and O'Brien attacking Mr Bates in Downton Abbey. This is every day leadership behavior at Amazon. The culture at Amazon is so infested with these middling talent weasels who have juked the stats and schemed their way to positions of power that new employees coming in actually start thinking that this behavior is normal and expected if you want to """"manage people.""""  The work itself was stimulating and fulfilling, but the sneering condescension of the d bags that cheated and skated their way through high school and party colleges, then just converted their winky nod nod good 'ol boy shenanigans into a """"ask no questions, have no introspection"""" company culture have made manifest some of the worst criticisms of capitalism. Any left leaning political aspirant would look at this business organism and immediately have content to lash out against the corruption that can come in free enterprise where hard work is",['Global Sentiment'],['Positive'],[0.9061916470527649],"[array([0.0620832 , 0.03172513, 0.90619165], dtype=float32)]",['-100'],[''],1.0476641654968262,Positive
Challenging sometimes fun work environment Being part of a team Doing great things Great people to work with Organization and communication can be a challenge to maneuver around  Hours can become a challenge when managing a hectic schedule  Having to be available for any shift in order to move up in certain positions Work expectations and policies can change and can be confusing,['Global Sentiment'],['Positive'],[0.7783504128456116],"[array([0.04129737, 0.18035221, 0.7783504 ], dtype=float32)]",['-100'],[''],1.0476126670837402,Positive
"""Disclaimer: My opinions reflect that of an SDE in Amazon. Seems like some operational job functions are very tough.  I have read through some of the other Amazon reviews and it seems to me that everyone has a very different experience! This is so true. Within the same team, you can have both workaholics and slackers coexisting and coworking together. I think I am more of the balanced type as I try to stay sane. The Amazon experience is basically the entire spectrum and it is what you make it out to be.  Pros in Amazon certainly excludes great benefits, but compensation is competitive. Free food means average quality free coffee, once in a while free pizza for lunch where it is a working lunch, and free beer and finger food in special events. We get a free Orca card to take any bus in the Seattle area for free. $160 per month subsidy for office parking, which is better than nothing. Downtown monthly parking goes for about $200 per month. 401K contribution is 50% of what you put in, where you can put in max 4% of your salary. Not so great. Staff cafeteria food is average and not at all cheaper than outside food, or could be even more expensive. It is hard not to complain about the cafeteria. Vacation days are ok but note that there are no sick leaves. They count as part of your 5 personal days",['Global Sentiment'],['Positive'],[0.8123405575752258],"[array([0.1092976 , 0.07836182, 0.81234056], dtype=float32)]",['-100'],[''],1.0475876331329346,Positive
"""Great starting pay and the ability to get raises very quickly. Full training in all areas are offered and if your willing to work hard and sweat everyday for 10 hours a day, 4 days a week, then this is the job for you. The 4 day weeks go by quick, it can be exhausting so proper rest and a healthy lifestyle will help you stay strong within this company. Beat benefits as well once you are a hired on as a full time employee. After 3 years of working with the company you """"cap out"""" at $15.75, meaning you can no longer make any more money than that as a tier 1 associate. Your expected to want to move up in the company and that is the only way to make a better hourly wage, by advancing into management and operations management positions if there are any openings.""",['Global Sentiment'],['Positive'],[0.8832656741142273],"[array([0.00110042, 0.11563392, 0.8832657 ], dtype=float32)]",['-100'],[''],1.0474815368652344,Positive
"""- super smart people, the best of the best from schools - if you get hired here, you will be hirable anywhere, recruiting process is tough - the pay is above average, probably 1.5 times elsewhere (but the expected results are 150% of elsewhere too) - lots of opportunities to work on new, innovative projects - cool SLU campus, lots of options for food and drinks after work - frugality is taken to the extreme, only 2 weeks vacation, parking takes a year or more to get, zero perks (not even free Prime), no fitness allowance, poor 401k - your peers will stab you in the back, your manager will blame you for their errors, you can't trust anyone - people who throw others under the bus and take credit for other people's work get promoted - expectations 60 -70 hours a week, some teams expect Sunday to be an """"in the office day"""", headcount never gets filled, teams are always short a few people but the work keeps piling on.""",['Global Sentiment'],['Positive'],[0.6755061149597168],"[array([0.01170977, 0.3127841 , 0.6755061 ], dtype=float32)]",['-100'],[''],1.04755699634552,Positive
"""The benefits and compensation is pretty good for a job that you can take without a degree You will get in shape, as you will vigorously work daily in a physical way This is a job that almost anyone can do, as long as they are physically able; it's not difficult to learn or do this work They cycle you between different positions in the warehouse so you're not stuck with one that you hate forever They give you flexibility in how to use the time - off that you're given and accrue as you work; this can be used to cover tardiness There is some opportunity to take on more responsibility in a leader role There can be challenges to working a night schedule (1:20am-11:50am) The shift is pretty long, especially because you will be labouring and moving non-stop for most of the shift The fast pace of the work doesn't slow down for you -- you have to keep up; it's a bit like being on a treadmill The culture and expectation is that as a worker, you will comply; this isn't bad in itself because receiving orders in a chain of command is good; but there is little """"freedom"""" in this job; in some jobs, you're given a responsibility with some freedom in how you pursue it (like a project or something), but the nature of the work in this position is that you are pretty much",['Global Sentiment'],['Positive'],[0.9815413951873779],"[array([0.00820727, 0.0102514 , 0.9815414 ], dtype=float32)]",['-100'],[''],1.047210931777954,Positive
"""Amazon in North Reading is a pretty good engineering environment with decent management.  There are opportunities to work on a variety of projects and interesting HW and SW.  Projects are often well funded. Ideas are generally welcomed and often lead to new projects.  Good benefits.  Collaboration is promoted and supported.  A good place to learn. You'll often feel like a number as Amazon, which can sometimes treat people like a body in a slot. And HR feels very impersonal and is not known to speak up for employees against management,  It's often a pressure cooker with tight deadlines and unrealistic goals. In many offices people don't know each other and there's not much camaraderie, culture or community. (North Reading is generally better than most Amazon offices, with a lively social culture, but it's getting to be more impersonal over time.)  Employees are secretly stack-ranked against each other by management. (They usually deny this, but I've had it confirmed by several managers and it's been written up on the net extensively.) This can lead to high-achievers suddenly being put on unrealistic PIPs (Performance Improvement Plans), leading to job loss. (Very few people survive the PIP process, which looks designed to push the person out.)  Most members of SW engineering teams are required to participate in on-call duty, which often means multiple days of",['Global Sentiment'],['Positive'],[0.992244303226471],"[array([0.00409746, 0.00365822, 0.9922443 ], dtype=float32)]",['-100'],[''],1.0478352308273315,Positive
"""The pay was good based on the workload in the beginning. Great place to learn and get your foot in the door for IT. The workload ramped up tremendously after a while with no extra pay. The supporting of multiple buildings was introduced the past year. Two years ago, it was a great place to get promoted. Now, it's difficult to get promoted without being buddies with upper management. They promote the wrong people who display little to no expertise while others have it or the certifications to prove themselves and who want to move up. Very disorganized and clueless management who cannot agree on anything and forget conversations or messages almost immediately. No backbone from management in upholding tickets and projects SLAs. Expect to bend over for anything operation management demands like a toddler throwing a tantrum and your own bosses yelling at you to get it done even if it goes against the ticket or project policies. Lack of building knowledge past your level and not growing. Basically it becomes a dead-end job. Get in for about a year and get out FAST! Use the time to earn your degree or certification and get out before they drag you down to their level.""",['Global Sentiment'],['Positive'],[0.5516892671585083],"[array([0.2065481 , 0.24176267, 0.55168927], dtype=float32)]",['-100'],[''],1.0474765300750732,Positive
"""- Helpful Team: Teammates were always ready and willing to lend a hand or help out. - Manager Cared about our growth: Mgr was always looking out for our team and how to make sure we stood out both as a team and individuals so when promotions/pay raises came up we had a better shot when compared to others. - Solid Benefits: Benefits were great and pretty cheap (Would like more PTO tho). - Lots of room for growth: Moving around Amazon was always possible Mgr would even help if you asked. Had access to free AWS resources that was not limited to just active work projects but could be used to experiment and learn about AWS and development.  - Never a dull moment: There was always something to do, whether it was an assignment from leadership or a teammate or an idea that you yourself had. - Trust from Leadership: When leadership would assign us a task or goal. They trusted we would make the right/best decision for the team and company. - The roomers that your manager will work you into the ground are dependent on your Manager and Director - Organization Restructures would happen more often than I would have liked. - Other teams would be slow to respond to tickets but expect prompt  responses in return. It took management way to long to look into/address the issue - Being On call every 3",['Global Sentiment'],['Positive'],[0.9963496923446655],"[array([4.2896232e-04, 3.2213212e-03, 9.9634969e-01], dtype=float32)]",['-100'],[''],1.0474048852920532,Positive
"""vibrant, fast paced culture - smart, fun, aggressive colleagues - management is focused on latest tech trends and staying or becoming a leader for many of them - by and large, customers and partners are very positive about the technology - good benefits and perqs Worse still is the politics. When you hire a bunch of smart, aggressive people, and put them in an environment of outsized expectations, throw in a bunch of re-orgs and changing management, and sprinkle with uncertainty and constantly changing priorities, you inevitably get people back stabbing each other and throwing others under the bus to appear smarter and more worthy of promotion.""",['Global Sentiment'],['Positive'],[0.9710108041763306],"[array([0.00185151, 0.02713767, 0.9710108 ], dtype=float32)]",['-100'],[''],1.047483205795288,Positive
"""The pros of this job was meeting new people, opening new doors for the betterment of my futures and others and the different experiences that allowed me to strive to do my best and to succeed with support of my managers and other associates. The cons of working at Amazon was disrespectful associate and some managers, the environment was not clean, causing sickness due to dust and grim in equipment, when I had ask for assistance with my health I was mocked by A.M CARE, the dismissal and disregard of the associate by HR and higher ups, being disheartened by the lack of compassion and sympathy that was not shown during hard time for associates either, Amazon is a place to find your footing and also to go and open new doors for yourself, such as, school, medical and dental benefits, accommodations and mental health support, and the pay is fairly decent, but even with all of that, Amazon seems to lack any sense of compassion, understanding or sympathy towards its workers as if we don't matter and we are just a number, by breaking down and burning out their associates. Anyone can work there, as long as you understand what your getting yourself into.""",['Global Sentiment'],['Positive'],[0.7260013222694397],"[array([0.2430696 , 0.03092905, 0.7260013 ], dtype=float32)]",['-100'],[''],1.0479366779327393,Positive
