Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Twilio,5.0,"Mar 11, 2024",Pretty great place,Sales Development Representative (SDR),"Current Employee, more than 1 year","New York, NY",Amazing attitude and always positive,Sometimes they are so positive they won't tell you the hard truth.
Twilio,3.0,"Feb 2, 2024","Used to be a great place to work, not anymore",Solutions Engineer,"Current Employee, more than 3 years",,Truly smart and amazing coworkers. Work life balance and pay is decent,"What a shame used to be amazing place to work 4 years ago when I started with a great almost cultish culture! All that is gone and current leadership is complete disaster. It feels like a high school clique, lead by the bully mean girl who’s not open to feedback. So many shenanigans, nobody believes in Twilio magic anymore. No enablement for SEs, we find about new features from clients. 3 layoffs and same mistakes with all, layoff AEs and leaving customers to hang without a new point of contact. We lost so many opportunities again due to layoffs and reorgs as customers had no new reps for 2+ months. Customers are frustrated and some opportunities were lost because “we’re on our 4th AE this year!”
Just came back from SKO and our newest coolest product is something you would see 5 years ago. No long term vision. Lost so many smart people and unfortunately I think many more are leaving."
Twilio,5.0,"Mar 7, 2024",Good Company,Software Engineer II,"Former Employee, less than 1 year","Tallahassee, FL","Benefits are amazing, best insurance possible.",Structure could be improved in a better way. Initial training can improve as well (onboarding process)
Twilio,5.0,"Jan 26, 2024",Was great while it lasted ,Enterprise Account Executive,"Former Employee, more than 1 year","San Francisco, CA","Thoughtful, transparent leadership 
Market leading product 
Many products in the bag to sell, and you can sell with confidence because the products are good 
Good management at every level. Collaborative deal execution. 
Very receptive leadership at every level to ideas. Leadership fully implemented feedback from even interns in order to improve things 
LOADS of resources to get deals done. 
Lots of learning opportunities. Lots of recognition for achievements.
Focus on D&I led to an incredibly diverse team and brilliant ideas. 26+ countries represented with massive growth outside of the US.
All this lent to an exceptional culture, there was no other company like this ever before. A lot of this magic is gone now.","Several layoffs due to over-hiring and over spending.
Unclear long term vision and execution behind that long term vision. 
Lack of long term thinking or learning from past issues in some ways
Far too many changes, pivots and reorgs. 1st line manager changes several times in a year.
New CEO, LOADS of C-suite changes over the years. 
Too frequent territory remapping. Losing accounts in September for example when you just start to get traction breaking into an account. 
Customers are jarred from switching account reps many, many times. 
Cumbersome internal processes, very hard to navigate how to close deals or get approvals. Twilio gets more in the way of deals closing than any competition. 
Total miss with 2nd and subsequent covid waves. Massive opportunity for revenue lost. 
Too much focus on lengthy product training vs sales execution 
Highly complex comp plan and thus there are many conflicts over comp payouts and timing
Very competitive and commoditized market. Twilio does well at differentiation and shipping new features for the roadmap, but just know that there will be loads of completion in every deal. 
Knowledge loss at every level as most tenured employees have left."
Twilio,5.0,"Mar 1, 2024",Best place I've worked,Anonymous Employee,Current Employee,,The people here really care about each other and the work they do. Managers here I've interacted with are also always trying to improve the workplace and empower others.,"Many layoffs of the last year or so, making overall morale lower"
Twilio,4.0,"Feb 9, 2024","In the midst of a turnaround story, but still bullish",Staff Product Manager,"Former Employee, more than 8 years","San Francisco, CA","- The product is still embedded in so many of the largest companies on the planet. They've built a network of carrier connections globally. A lot of operational things that won't just go away overnight.
- They are at such a huge scale that a few changes to operations can vastly swing profitability metrics","- Culture is basically gone, so a new one has to emerge
- Still struggling with figuring out what is Act 2.0 for the company"
Twilio,5.0,"Mar 4, 2024",Former employee,Sr sourcing specialist,"Former Employee, more than 3 years","Seattle, WA","Compensation was on par or better
Twilio truly cares about its employees 
Unlimited time off","The company is political, strong left leaning."
Twilio,4.0,"Mar 4, 2024",Working at Twilio,Senior Product Manager,Current Employee,,"Amazing culture, benefits and perks","Poor leadership, vision, and focus"
Twilio,4.0,"Feb 27, 2024",Tough times,Anonymous Employee,"Current Employee, more than 3 years",,Inclusive culture where you'll meet all kinds of people.,Currently lacking actionable vision and there is a lot of uncertainty. Hopefully things turn around.
Twilio,1.0,"Mar 10, 2024",Worst leadership team,Software Engineer,"Current Employee, more than 3 years",,Unable to identify any pros. It feels like the leadership primarily comprehends colors on dashboards. They consistently manage to dismiss valuable individuals when promo or layoffs are necessary.,"Lacking insights, deficient leadership, and a tendency to feign technical proficiency."
