Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
NCR,5.0,"Jan 25, 2024",Great company ,Chargeback Analyst,"Former Employee, more than 1 year","Dallas, TX",Work from home and great management,I have no complaints about my time there
NCR,4.0,"Feb 8, 2024",Good teams trying to save aging tech,SMB Account Manager,"Current Employee, more than 5 years",,"NCR is a great place to get corporate experience. Working in SMB Hospitality, the teams really cared about restaurants and did their best. Managers were open to feedback and very supportive. Restaurant technology is a fun industry.","The biggest challenge for the NCR SMB Hospitality is aging technology. NCR Aloha was the clear market leader a decade ago but the resources were not invested to keep it current. This is resulting in much of the SMB market going to Toast.

Also, the support and billing were moved overseas. These people are nice but often aren't properly trained. This leads to very angry customers over long support holds and duplicate billing. They are trying to make NCR Silver (Aloha Cloud) the future but it needs much more investment to catch up with competitors (like Toast & Square).

All that being said, I enjoyed my time at NCR because of the people. There is still a place for NCR in larger chains. If you only have restaurant experience and want to get a corporate business job, this is a great place to start."
NCR,1.0,"Mar 7, 2024",Terrible,Customer Service Technician,"Former Employee, more than 1 year","Manchester, NH","Training is pretty decent for entry level. If you have to work here, volunteer for as much training as you can, and then leave. 

That's about it.","The hours in my area were variable. Sometimes you started at 730am, and this would ruin until 530pm. Yes, the standard day is 10 hours, but you only get paid for 8. First and last 30 minutes of travel are unpaid, and there's a mandatory 1 hour (unpaid) lunch that you have to take. They're obviously hoping you just work through it, which happens to most techs I've met. Pretty scummy behavior, but it gets worse.

When I submitted my 2 weeks notice, I asked my boss if NCR paid out unused PTO he said that they did. He said that so I wouldn't ask for some of the time of my 2 weeks notice off, because I'm my state they do NOT do that.

On my last day, I submitted my last expense report on my company card. I thought everything was settled. They never contacted me at all after that. They never paid the last set of expenses despite my documentation, and just let my AMEX go to collections. Their turnover is also crazy. My brother had 4 managers in 2.5 years, because again, terrible place."
NCR,2.0,"Feb 5, 2024","Sales-Focused, not Execution Focused",Account Support Manager,"Current Employee, more than 8 years","Raleigh, NC",Many great coworkers and friends I’ve made over the years. First line management is also generally pretty good and grounded.,"This company is run by people who are career salesmen. And sales is all that they care about. This is reflected in almost all levels of the culture. Sales teams are often (and exclusively even) given the best perks and benefits, and are almost always the only ones being recognized by executive leadership on the all-hands calls. 

Meanwhile NCR invests laughably little (about 3%) into innovating the vast array of legacy products it constantly misrepresents as being cutting edge, and the actual newer products are also often years ahead of being working and viable solutions, but are sold anyways.

Execution and delivering on promises to customers is a distant second priority. That is until this rush to the sale’s finish line mantra complicates another sales opportunity, and leadership will then throw all hands on deck to (temporarily) fix said problem to keep the customer on the sales hook.

You will constantly hear executive leadership saying “the customers are first”. It’s all nonsense. What they really mean is “the sales pipeline is first”. And these aren’t just my words, at least three high level customer contacts (c-suite and director) have told me this same thing over the years."
NCR,5.0,"Mar 5, 2024",Work culture and career growth,Senior Software Engineer,"Current Employee, more than 3 years","Atlanta, GA","- Work culture is amazing
 - Reward for performace",Constant change in leadership makes hard to align with annual goals
NCR,4.0,"Mar 5, 2024",Average,Solution Owner,"Current Employee, more than 5 years","Atlanta, GA",People are amazing and collaborative,Pay and growth is not the best
NCR,1.0,"Jan 13, 2024",My advice is to look elsewhere,Product Owner III,"Former Employee, more than 1 year","Omaha, NE",Good benefits and good pay if you’re coming from outside the company. They are some truly awesome people in Omaha that you trauma bond with.,"The leadership within Omaha leaves much to be desired. It’s very top down and many people have left the company because of one leader in particular, yet nothing will change because the leadership group goes way back prior to D3. They have very unrealistic expectations of Product Owners, and don’t clearly communicate those expectations until it’s a problem. I left because the work life balance was not good, the leadership said you should be a full SME within 3-6 months, but would change the span of ownership every over month. It was very hectic and if they felt you weren’t keeping up or asked too many questions, you were labeled as incompetent by one leader and she made sure you were aware of it. 
This leader also disregarded any type of Covid restriction the company put in place because she was vocally anti-vax."
NCR,5.0,"Feb 19, 2024",Good Experience,Systems Engineer,"Current Employee, more than 3 years","Atlanta, GA",Lots of experience around. Many people have worked at the company for decades. There is a focus on technology and moving forward old systems.,Not the most competitive pay and not a lot of (visible) desire to grow internal talent for promotion.
NCR,5.0,"Feb 25, 2024",Room for improvement,Project Manager,"Former Employee, more than 3 years","Atlanta, GA","remote options , great office buildings",none at the present moment.
NCR,1.0,"Feb 12, 2024",Dishonest and poor management,Customer Engineer II,"Former Employee, more than 1 year","Chicago, IL",You are provided with a fleet vehicle almost feels as if you're running your own business with inventory and break/fix calls.,Dishonest management very disrespectful when you are asking for something as simple as weekends off. A specific person on the management team made sexually abusive remarks and was not fired or reprimanded at all. Management was covering up for this person and nothing ever happened. I felt as I was forced to quit I couldn't even listen to the sound of his voice when we called meetings. What kind of business are they running?
NCR,5.0,"Feb 22, 2024",Great company to work as a professional,VP-Technology,"Former Employee, more than 10 years","Atlanta, GA",Challenges and progression that drives opportunities,Work life balance must be managed by employee
NCR,5.0,"Feb 24, 2024",Good,PS Software Engineer II,Current Employee,,"Good Job
Great Work Location",Not much to share cons
NCR,4.0,"Jan 25, 2024",Professional Devlopment,Product Manager,"Former Employee, more than 1 year","Atlanta, GA","Great work place environment with the opportunity to meet new co workers in different divisions of the company,",Inconsistent management and lack of assistance in trying to help you grow.
NCR,5.0,"Feb 21, 2024",good,Anonymous Employee,Former Employee,,"good nice, wonderful , very secure",No cons I have seen
NCR,4.0,"Feb 18, 2024",Good place to work for,Tech Lead,Current Employee,"Unity, NH","Good Mgmt
Comfort Environment
Stable","High work load
none else"
NCR,4.0,"Feb 1, 2024",Great Company to work for,Executive Director,"Former Employee, more than 8 years","Atlanta, GA",Excellent career opportunities around the world. Fair treatment to all employees,"The company has just been divided into two different companies, not sure this will greatly help for future employees"
NCR,4.0,"Jan 19, 2024",Good Place to Start Career in Softare,Software Engineer II,"Current Employee, more than 3 years","Atlanta, GA","A lot of new projects they are getting off the ground.
Several legacy products that provide a baseline of funding (good for overall company stability).
Lots of young people.
Good work-life balance.","Not much Paid Time Off (2 weeks, 3 weeks after 5 years).
Constant need to maintain legacy products slows growth of new products."
NCR,3.0,"Feb 23, 2024",3 years employed,Account Manager,"Current Employee, more than 1 year",,People are great to work with and supportive.,Merger with NCR ruined a lot of things that made Cardtronics nice to work at. A lot of internal changes occurring all the time but teams don't always communicate it causing issues down the road.
NCR,3.0,"Feb 27, 2024","Great job, no employee appreciation",Supply Chain Analyst,"Current Employee, more than 8 years","Mount Juliet, TN","Great pay, benefits, 401K, work environment",They will drop you so fast regardless of your situation or years of service
NCR,5.0,"Jan 22, 2024",No complaints from me,Field Service Technician,"Current Employee, more than 1 year","Tidewater, VA","I've had good experiences so far. My team is solid, managers are involved and work with us. All around positive place for me.","A few minor bumps and growing pains from the recent Voyix/Atleos split, but no big cons come to mind"
NCR,1.0,"Dec 5, 2023","Set up for failure, so you fail",Software Engineer,"Former Employee, more than 8 years","Atlanta, GA","Met some nice people. Learned a lot from people around me. Was able to pass along my knowledge to others.

We all did our best despite the workload becoming more and more as people get let go and no backfill. 

There is quite the building of comradery as we suffer together.","This company sets you up for failure. It is sink or swim here, and it is most common for people to be drowning. Terrible communication, zero training, and no documentation.

I stupidly worked extremely long hours because it was urgent. Nothing is ever urgent when everything is urgent.

I had very inadequate managers, project managers, and coworkers. Most of my team was abroad. They were absolutely incompetent and liars. There were a few star developers sprinkled in. Many had no idea what they were doing and constantly pushed out bad code. They didn't like when I pointed out their problems. It meant they had eyes on them. I've experienced them lying about them doing work. They couldn't possibly do work if their lab wasn't up and connected.

I feel bad for the good ones who worked long hours and weekends."
NCR,4.0,"Oct 30, 2023",NCR,Executive Director,"Former Employee, more than 8 years","Atlanta, GA","Working at NCR Corporation in the Professional Services department provides a unique blend of positive experiences and challenges. The company offers a dynamic work environment, encouraging personal and professional growth, and fostering a culture of collaboration. Employees often find themselves surrounded by talented colleagues, enabling knowledge sharing and skill development. NCR's Professional Services division is an exciting place for those who enjoy a fast-paced and ever-evolving industry. The projects are engaging and the opportunities to work with a diverse clientele are enriching.","However, some may find that the company's organizational structure can be somewhat disorganized. The fast-paced nature of the work often requires adaptability and a certain level of self-direction. Yet, it can sometimes pose challenges for those who thrive in more structured environments. This aspect might not suit everyone, but for those who appreciate flexibility and can navigate amidst ambiguity, NCR Corporation remains an excellent place to learn and grow in the realm of professional services."
NCR,3.0,"Feb 29, 2024",Company Review,Software Engineer,"Current Employee, more than 3 years",,Work life balance is good,Salary does not match market
NCR,1.0,"Jan 8, 2024",Great Pay but miserable life.  ,Sales Representative,"Former Employee, more than 3 years",,Work from home. Base pay and commissions are good. Benefits are solid.,You'll be getting texts and calls from their unhappy customers after 5 p.m. and on weekends. Worst company I've ever worked for in regards to management. In just 3 years I've gone through 3 VP's of Sales and 3 Sales Managers. Over 200% turnover on my team of 20 people and to date nobody is still employed that I worked with. I was literally the Last of the Mohicans. NCR does not have their stuff together and the recently just outsourced (1.5 years ago) all of their internal processes and sales support to other countries like Siberia. It takes over a week to get quotes approved and management has no idea what their doing. Stay away from NCR unless you really like having extra doses of stress.
