Company Name,Employer ID
Amazon,6036
IBM,354
Google,9079
Apple,1138
Cognizant Technology Solutions,8014
Shopee,1263091
Microsoft,1651
Tata Consultancy Services,13461
Meta,40772
Infosys,7927
Oracle,1737
Micron Technology,1648
SAP,10471
Dell Technologies,1327
Capgemini,3803
Salesforce,11159
Wipro,9936
Cisco Systems,1425
HCLTech,553909
NCS,138872
Grab,958580
HP Inc.,1093161
Visa Inc.,3035
Bloomberg,3096
Hewlett Packard Enterprise | HPE,1093046
Robert Bosch,3353
TikTok,2230881
DXC Technology,1603125
PayPal,9848
Qualcomm,640
Intel Corporation,1519
Autodesk,1155
VMware,12830
NTT DATA,7649
LinkedIn,34865
Thomson Reuters,100303
Honeywell,28
ByteDance,1624196
Amazon Web Services,7470741
Nielsen,3776
Tech Mahindra,135932
Genpact,42613
Seagate Technology,1864
Booking.com,256653
NTT Ltd.,12228
HubSpot,227605
AMD,15
FDM Group,234827
Avanade,11701
foodpanda,709546
EPAM Systems,15544
Fujitsu,3524
Expedia Group,9876
Indeed,100561
Concentrix,31549
Equinix,11296
Atos,10686
Adobe,1090
X,100569
NEC Corporation,3532
Thoughtworks,38334
Rakuten,40197
Red Hat,8868
ST Electronics (Singapore),255115
Sopra Steria,466295
Yahoo,5807
Synapxe,454697
Zendesk,360923
Airbnb,391850
Singapore Press,5855
Luxoft,116344
Amadeus,6940
Western Digital,1067
Hitachi,3525
Agoda,461386
Garena,532331
Deliveroo,1053365
Virtusa,29396
Tencent,38281
Lumen,248324
Ricoh,21210
CSC,169
UST,155577
ServiceNow,403326
DONE by NONE,619738
Lenovo,8034
Ingram Micro,5794
Workday,197851
Citrix,5432
Gojek,1282114
Tripadvisor,15276
Netflix,11891
Meltwater,305399
Gemalto,35090
Sabre,6269
Marvell Technology,11761
Xilinx,2063
Motorola Solutions,427189
NielsenIQ,4796509
SAS,3807
