Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Robert Bosch,4,3-Feb-24,Internship & working student job in Feuerbach,Full Stack Developer,"Former Employee, more than 1 year",Stuttgart,"- Good transport connections
- Supervisor always had confidence in students and encouraged them to contribute their own ideas
- Good pay
- Good opportunity to gain experience with new technologies (Oracle database, Jira, Red Hat OpenShift, ...)
- Good canteen food","- Many (mostly unnecessary for my area of responsibility) compliance trainings (partially introduced as a response to Dieselgate)
- No home office (at least before Corona) for interns & working students
- Old office
- Company computers run only Windows (i.e., no Macs) with very restrictive configuration (installation of Google Chrome, for example, was only possible with my supervisor's approval)
- Internal hosting of web applications is outsourced to employees in India who were overwhelmed by many technical problems
- Partly unmotivated colleagues (early retirement, partial retirement & severance payments were frequent discussion topics among the german workforce)
- Not the best prospects (Feuerbach site) due to the transition to e-mobility"
Robert Bosch,2,30-Jan-24,Industry average,Software Engineer,Former Employee,Ho Chi Minh City,"Bosch shows a great example of what a multinational organization is, and how multi-level management is arranged. 
Working at Bosch provides opportunities to work with expats.
Since Bosch is an average performer, working here shows a glimpse into the software industry -> a good career starter for most.
Salary is average.
Functional equipment.
Mixed background workforce.
Bosch's contracts in Vietnam are mostly mediocre (standard), but I luckily landed a great one, so all great.","Most frameworks used are either internal - which means knowledge is non-transferable - or extremely dated which also means the same thing.
Most Boschers are literally code monkeys with really high specialism but relatively weak in term of managerial prowess.
Poor English overall, in all divisions.
Offices are really muted and unmotivating.
Career opportunities is sufficient.
Continuous propagandas about Bosch displayed and mentioned by low-tier managers."
Robert Bosch,4,20-Feb-24,Job Secure,Manager,"Current Employee, more than 8 years",Bayan Lepas,"Work life balance 
Flexi hours 
Work from home","Less opportunity to grow
Benefits not competitive
Salary increment medium low"
Robert Bosch,3,11-Jan-24,"Great shopfloor, stagnant headspace",Trainee Engineer,"Current Employee, more than 3 years","Miskolc, Borsod-Abaúj-Zemplén","Both the factory and the offices are clean at all times. There's always some new machinery to check out, you've just got to argue with the production engineers a bit to be able to see it.","""Youthful team"" is a great buzzword, but most departments were staffed with 30-35 year olds that acted like old farts. Curiously the guys over 50 were the best to be around, because they didn't give a single f anymore on a comical level. Every process is riddled with useless steps that were introduced by grifters, just so they could delay actual work with paper pushing."
Robert Bosch,1,13-Feb-24,Very disappointing and toxic workplace,Digital Expert,"Current Employee, less than 1 year",Budapest,"German brand
Good market position and product portfolio","Recruiting will promise good salary and benefits and later you learn it was not true
Very toxic leadership - The international team plays games with each other and normal employees are suffering
They have a ""This is not a democracy"" policy and decide over matters concerning employees
Very bad salary expectations and annual raises are half of the inflation.
German strategy and tactics are made for the German market so it is hard to perform in Balkan countries."
Robert Bosch,5,20-Feb-24,Great !,Intern,"Former Employee, less than 1 year","Plymouth, MI",#NAME?,#NAME?
Robert Bosch,5,20-Feb-24,Good,Data Scientist,Current Employee,Cluj-Napoca,"work-life balance
nice people
interesting projects","not the highest base pay
some projects are not the most complicated"
Robert Bosch,4,19-Feb-24,Great Company,Student Worker,"Current Employee, more than 1 year",Stuttgart,I enjoyed the majority of co-workers who are doctorates in their field. The majority were very competent. There's a great company cantine.,None that I know of.
Robert Bosch,5,18-Feb-24,Excelent company,Analyst Programmer,Current Employee,,Good benefits in terms of bonus,"Non-competitive salary
It is hard to raise a salary
It takes too long to move to another IT area"
Robert Bosch,1,18-Oct-23,Don't join JMP!,Junior Managers Program (JMP),"Former Employee, less than 1 year",Budapest,"The new office in Budapest is nice, but it lacks a personal touch. Too big, feels like a modern way of keeping slaves.","You go through 6 rounds of interviews, including a personality test, which takes a long time. HR promises you everything, and reality settles in shortly after you join. They lie about the contract, fail to mention important details and deny to address them once you sign. The whole concept of JMP in Hungary is flawed. HR hires for positions where receiving departments have no headcount but would like some. It's a mentor roulette - HR sells the whole program as a great opportunity, with you taking the lead on setting up your stage plan (4x6 months rotation plan) with the help of your mentor - only for this to turn out to be false. My rotation plan was already set in stone, and my so-called ""mentor"" was not interested in my needs or opinion, only their own. If you get a mentor who sucks, you're stuck with them for 4 years. They will try to intimidate and blackmail you into staying, and if you decide to speak up honestly, they will fire you - just like it happened to me. Currently, about 80% of JMPs leave Bosch after the program ends. Senior management does not care about JMP as they are too occupied with investigating whether employees pay for all items at the restaurant. If you're okay with being a corporate lapdog and keeping your mouth shut, feel free to choose Bosch Hungary."
