Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons,Overall Review,Overall Review with Title,Sentiment,Check
Shopee,1,8/2/2023,terrible company,business development associate,former employee more than 1 year,"Poland, ME",salary and benefits nothing else to add,management overtime no dvelopement opportunities,salary and benefits nothing else to add management overtime no dvelopement opportunities,terrible company // salary and benefits nothing else to add management overtime no dvelopement opportunities,Negative,
Western Digital,1,15/11/2023,yuk,account manager,former employee,"San Jose, CA",i was able to quit,the entire management team sucks,i was able to quit the entire management team sucks,yuk // i was able to quit the entire management team sucks,Negative,
Genpact,1,11/12/2023,please stay away unless no other choice,process agent,former employee more than 3 years,"Richardson, TX",if you happen to get a good manager they will at least be honest with you but they blame everything on the client and not the fact that its actually genpacts policy thats making all of the awful decisions,they will try to milk every ounce of production out of you like a workhouse mule they dont care about you they dont pay holiday pay they could care less about your worklife balance if you ever want to move up within the company are going to have to take out a ton of extra work and go through lateral positions again and again before you actually get title and maybe a dollar pay raise if youre lucky,if you happen to get a good manager they will at least be honest with you but they blame everything on the client and not the fact that its actually genpacts policy thats making all of the awful decisions they will try to milk every ounce of production out of you like a workhouse mule they dont care about you they dont pay holiday pay they could care less about your worklife balance if you ever want to move up within the company are going to have to take out a ton of extra work and go through lateral positions again and again before you actually get title and maybe a dollar pay raise if youre lucky,please stay away unless no other choice // if you happen to get a good manager they will at least be honest with you but they blame everything on the client and not the fact that its actually genpacts policy thats making all of the awful decisions they will try to milk every ounce of production out of you like a workhouse mule they dont care about you they dont pay holiday pay they could care less about your worklife balance if you ever want to move up within the company are going to have to take out a ton of extra work and go through lateral positions again and again before you actually get title and maybe a dollar pay raise if youre lucky,Negative,
Equinix,1,23/7/2023,toxic management toxic company,director,former employee,"Redwood City, CA",the data center side of the business is well run,toxic and abusive management hr team beholden to old boys network many managers with multiple reports of abuse to hr remain while victimized employees are forced out,the data center side of the business is well run toxic and abusive management hr team beholden to old boys network many managers with multiple reports of abuse to hr remain while victimized employees are forced out,toxic management toxic company // the data center side of the business is well run toxic and abusive management hr team beholden to old boys network many managers with multiple reports of abuse to hr remain while victimized employees are forced out,Negative,
FDM Group,1,23/11/2023,awful,consultant,former employee more than 1 year,"New York, NY",none avoid this company for your health and peace of mind,everything is wrong here the business model only works for them,none avoid this company for your health and peace of mind everything is wrong here the business model only works for them,awful // none avoid this company for your health and peace of mind everything is wrong here the business model only works for them,Negative,
Virtusa,1,9/10/2023,absolutely disastrous pay and management,consultant machine learning engineering,former employee more than 3 years,"Dallas, TX",basic perks like health coverage laptop and 401k,please dont join consider other options if you have i would give 0 or negative rating if there was an option following are points which you should consider 1 even for experienced candidates pay is very low compared to industry standards actually its a ripoff when it comes to pay 2 no increment in pay even after working for years and bonus is close to nothing 3 no professional growth plan for team member,basic perks like health coverage laptop and 401k please dont join consider other options if you have i would give 0 or negative rating if there was an option following are points which you should consider 1 even for experienced candidates pay is very low compared to industry standards actually its a ripoff when it comes to pay 2 no increment in pay even after working for years and bonus is close to nothing 3 no professional growth plan for team member,absolutely disastrous pay and management // basic perks like health coverage laptop and 401k please dont join consider other options if you have i would give 0 or negative rating if there was an option following are points which you should consider 1 even for experienced candidates pay is very low compared to industry standards actually its a ripoff when it comes to pay 2 no increment in pay even after working for years and bonus is close to nothing 3 no professional growth plan for team member,Negative,
Western Digital,1,29/10/2023,really bad,staff engineer,current employee more than 3 years,"Milpitas, CA",not much work so you can just chill out,has become political very bad work culture probably the lowest pay run for higher execs to earn millions without doing any work,not much work so you can just chill out has become political very bad work culture probably the lowest pay run for higher execs to earn millions without doing any work,really bad // not much work so you can just chill out has become political very bad work culture probably the lowest pay run for higher execs to earn millions without doing any work,Negative,
Tata Consultancy Services,1,6/2/2024,run away,communications manager,current employee more than 1 year,"Irvine, CA",money and insurance benefits there is no bonus raises or promotions just more responsibility and longer hours,lies lies dont care if you have the skills set they tell you the job is one thing and then will shove you in a position that is completely opposite then lay you off if you speak up,money and insurance benefits there is no bonus raises or promotions just more responsibility and longer hours lies lies dont care if you have the skills set they tell you the job is one thing and then will shove you in a position that is completely opposite then lay you off if you speak up,run away // money and insurance benefits there is no bonus raises or promotions just more responsibility and longer hours lies lies dont care if you have the skills set they tell you the job is one thing and then will shove you in a position that is completely opposite then lay you off if you speak up,Negative,
Apple,1,30/1/2024,apple culture has gone down hill,apple genius,current employee more than 8 years,"White Plains, NY",the biggest and only pro is the people you work alongside there are so many knowledgeable amazing and talented humans ive had the pleasure of working with,leadership preaches how much they care about the wellbeing of their employees yet do absolutely nothing to show for it zero work life balance at least in the location i work for your requests vacation requested days off sick time when there is no threshold will be denied they will create agreements and retract them later on apple no longer invests in their employees development everything is now in front of a computer with very little hands on training,the biggest and only pro is the people you work alongside there are so many knowledgeable amazing and talented humans ive had the pleasure of working with leadership preaches how much they care about the wellbeing of their employees yet do absolutely nothing to show for it zero work life balance at least in the location i work for your requests vacation requested days off sick time when there is no threshold will be denied they will create agreements and retract them later on apple no longer invests in their employees development everything is now in front of a computer with very little hands on training,apple culture has gone down hill // the biggest and only pro is the people you work alongside there are so many knowledgeable amazing and talented humans ive had the pleasure of working with leadership preaches how much they care about the wellbeing of their employees yet do absolutely nothing to show for it zero work life balance at least in the location i work for your requests vacation requested days off sick time when there is no threshold will be denied they will create agreements and retract them later on apple no longer invests in their employees development everything is now in front of a computer with very little hands on training,Negative,
EPAM Systems,1,17/3/2023,typical body shop management is awful,senior architect,former employee more than 1 year,"San Francisco, CA",good pieces of training which helps junior resources to learn new technology,awful worklife balance no transparency overburn leadership is not focused on resource career growth communication gap between leadership team and mid senior resources company is not performing well because of lack in leadership stocks went down more than 60 firing people is the easiest decision for the management not to develop their skills they will just fire when you are on the bench it is not worth even considering no projects atleast in us,good pieces of training which helps junior resources to learn new technology awful worklife balance no transparency overburn leadership is not focused on resource career growth communication gap between leadership team and mid senior resources company is not performing well because of lack in leadership stocks went down more than 60 firing people is the easiest decision for the management not to develop their skills they will just fire when you are on the bench it is not worth even considering no projects atleast in us,typical body shop management is awful // good pieces of training which helps junior resources to learn new technology awful worklife balance no transparency overburn leadership is not focused on resource career growth communication gap between leadership team and mid senior resources company is not performing well because of lack in leadership stocks went down more than 60 firing people is the easiest decision for the management not to develop their skills they will just fire when you are on the bench it is not worth even considering no projects atleast in us,Negative,
