Company Name,Overall Rating,Review Date,Review Title,Job Title,Job Details,Location,Pros,Cons
Amazon,5,2024-02-12,good pay hard work,area manager ii,former employee more than 3 years,"Romulus, MI",pay autonomy plenty of benefits,it was hard work in a warehouse many days of 15000+ steps
Amazon,5,2016-01-10,you get what you put in,anonymous employee,current employee,"Seattle, WA",really smart people a lot of opportunity for growth always encouraged to be innovative think big and create something new competitive salary and benefits with other major tech companies 100 self motivating work environment no dress code and 4 legged friends are welcome,you have to be self motivated no one will hold your hand and tell you that youre doing a great job if you need constant affirmations from management this company isnt for you
Amazon,3,2016-02-20,exciting work abusive culture,senior engineering manager,current employee more than 8 years,"Seattle, WA",jeff bezos and his steam are brilliant and continue to make great decisions for longterm growth you work with smart people you work on exciting projects you are pushed to your limitswhich can be rewarding when you accomplish great things the diversity of the potential work and innovation can be very alluring ive often called amazon my sexy mistressshes emotionally abusive but shes so sexy that i go back for more punishment,the management process is abusive and im currently a manager ive seen too much behind the wall and hate how our individual performers can be treated you are forced to ride people and stack rank employeesive been forced to give good employees bad overall ratings because of politics and stack ranking
Amazon,4,2013-12-17,can be amazing for some people horrible for others,software development manager,current employee more than 3 years,"Seattle, WA",amazon is doing lots of cool stuffbut lots of boring stuff too there are really well run teamsand very badly run teams the experience for software managers and engineers is all over the board from really run low operational load teams to teams where people burn out after a year amazon is built quite deliberately to be darwinian you can generally expect that anyone whos been here for more than 2 years is competent and motivated or they wouldnt have survived you can count on them as long as your priorities are aligned there arent many slackers here and they dont survive long we work on so much stuff that theres always an opportunity to find amazing cool stuff to work on note that its an opportunity one that you have to pursue a chance to make a huge difference a place where you can learn a lot about all kinds of things both technical and about yourself amazon encourages high mobility even your manager cant prevent you from moving to another team within 6 weeks normally more than a few months under unusual conditions your friends and family have actually heard of the place you work and have at least a vague notion of what amazon does without you having to explain,youre responsible for your own career progression and finding the places and teams that are doing the stuff you want to do no one is going to take you by the hand and help you with that amazon is built quite deliberately to be darwinian the strong survive and the weak perish metaphorically speaking and the bar is constantly increasing the level of performance that would have been acceptable five years ago will get you canned today its a kind of crucible thatll help you develop a harder edge if you can survive that can serve you well in your career and in life but its often not a pleasant experience i wouldnt recommend it as a place to work for just anyone
Amazon,5,2018-02-23,an amazing place to work,software development manager,current employee less than 1 year,"Phoenix, AZ",ive been at amazon for a month now and ive seen none of the horror stories being communicated to the public although amazon is a large enough company that im sure there are good pockets and bad pockets everyone here is really smart and wants to succeed both personally and as a company people collaborate and help each other focus on data and truly focus on the customer every company ive ever worked for talks about how important the customer is but on day 2 theyre forgotten amazon seems to genuinely focus on whats best for the customer and its awesome to be in meetings where people actually bring that up and make decisions focused on longterm customer satisfaction the opportunities to learn here are literally unlimited and the opportunity to take on new responsibility is as well i honestly believe you can be as awesome as you want here,no cons so far seriously like i said im sure amazon has some bad pockets in it here and there but this is an amazing job an amazing opportunity and the biggest thing i have to complain about is that its a little chilly in our building i can live with that does amazon demand high quality measurable results yes is it hard work yes is it rewarding yes so im not calling that a con worklife balance seems comparable to other places ive worked not worse
Amazon,5,2018-12-03,amazing company and the most driven and smartest of the people,software development manager,current employee less than 1 year,"Phoenix, AZ",you can learn a lot very quickly in a very short time surrounded with nothing but incredibly smart and driven individuals compensation is well beyond my expectations and more than suitable exciting projects all across the company that keep you interested and focused amazon is changing the world,can be overwhelming very steep learning curve can be difficult to keep up if you are not self motivated
Amazon,4,2017-03-23,we are now in a world where we are condescended to by our inferiors,anonymous employee,former employee more than 5 years,"Seattle, WA",this company gets a list performance from c list employees the culture is quick and hard charging you are always working in relevant and meaningful projects,maybe because the company recruits c listers who have neither merit intelligence strategic vision nor pedigree academic or professional accomplishments most of those who become successful do so in treacherous low cunning ways imagine the lannisters in game of thrones attacking the starks in game of thrones or rawls and burrell attacking mcnulty and daniels in the wire or barrow and obrien attacking mr bates in downton abbey this is every day leadership behavior at amazon the culture at amazon is so infested with these middling talent weasels who have juked the stats and schemed their way to positions of power that new employees coming in actually start thinking that this behavior is normal and expected if you want to manage people the work itself was stimulating and fulfilling but the sneering condescension of the d bags that cheated and skated their way through high school and party colleges then just converted their winky nod nod good ol boy shenanigans into a ask no questions have no introspection company culture have made manifest some of the worst criticisms of capitalism any left leaning political aspirant would look at this business organism and immediately have content to lash out against the corruption that can come in free enterprise where hard work is not rewarded and the connected incestuous privileged class lounge their way to wealth while treating their employees and customers like some kind of filth their shoe picked up on the street
Amazon,5,2020-08-30,overall a great company with high standards,fc associate i,current employee more than 3 years,,challenging sometimes fun work environment being part of a team doing great things great people to work with,organization and communication can be a challenge to maneuver around hours can become a challenge when managing a hectic schedule having to be available for any shift in order to move up in certain positions work expectations and policies can change and can be confusing
Amazon,4,2014-09-19,a huge diverse high tech company with all sorts of stuff,software development engineer,current employee,"Seattle, WA",disclaimer my opinions reflect that of an sde in amazon seems like some operational job functions are very tough i have read through some of the other amazon reviews and it seems to me that everyone has a very different experience this is so true within the same team you can have both workaholics and slackers coexisting and coworking together i think i am more of the balanced type as i try to stay sane the amazon experience is basically the entire spectrum and it is what you make it out to be pros in amazon certainly excludes great benefits but compensation is competitive free food means average quality free coffee once in a while free pizza for lunch where it is a working lunch and free beer and finger food in special events we get a free orca card to take any bus in the seattle area for free $160 per month subsidy for office parking which is better than nothing downtown monthly parking goes for about $200 per month 401k contribution is 50 of what you put in where you can put in max 4 of your salary not so great staff cafeteria food is average and not at all cheaper than outside food or could be even more expensive it is hard not to complain about the cafeteria vacation days are ok but note that there are no sick leaves they count as part of your 5 personal days per year listing the benefits of amazon is like listing the cons and not the pros work life balance seems to be ok for the most part and seems to be individuallydriven no one will tell you that you have to come in at what time and stay till what time i have team mates working every night and weekend and others getting in at 10am and leaving at 5pm all in the same team managers will focus on your project deliveries instead of how much time you spend working if you work 40hour weeks productively you can definitely outperform someone who works 60hour weeks but dont deliver stuff working less than 40 hours per week is somewhat common but i cant say how many people are working how long the view on work life balance is a bit skewed all it comes down to are the managers and what they think projects are always neverending but i have found that deadlines are very realistic and reasonable without counting your nights and weekends getting some slack time once in a while is probably a sign of a healthy work environment everyone needs a break oncall really really sucks basically all it comes down to is having sdes doubleduty as support operations engineers note that oncall does not improve the code quality of any team in any way the oncall experience is particularly bad because you are using services from some other team and their code is of low quality and fails for the wrong reasons if the managers had given more time to up the quality there would not be so many problems software is usually delivered with a tough deadline with code that meets the minimum quality bar and never gets improved for the next few years the code review process does not seem to help improve the code but it really obstructs developers from making great changes as unconventional things will not pass code review in clumsy minds innovation and excellence are not the name of the game in amazon searching through the amazon code base is usually not going to turn up quality code that you can actually reuse integration is the name of the game in amazon you will need to spend a lot of time to figure out how to integrate your code with another teams services whether these other people are cooperative is a hitormiss i have found that most people are responsive and helpful but there are also quite a number of jerks who are out to make trouble for everybody it is not easy to work across teams but the experience is mostly positive amazon is a huge behemoth and is hiring people like there is no tomorrow this reflects well on a good growth momentum but also is worrying that the company is not turning much profit if the company does not make money where is our bonus going to come from you can see new faces around the amazon building almost everyday downside is that we are taking in a lot of average to aboveaverage engineers and being an amazonian sde certainly does not share the same reputation as the top names amazon is a huge mixed bag of some very talented people and some very dumb people i think the world is not turning up enough sdes and the only way is for quality to go downhill as an sde expect to spend most of your time talking writing emails and documents and maybe around 2030 of your time coding in most of the teams you can work on interesting projects but probably not revolutionary ones note that amazon is a very downtoearth company and the work is very downtoearth as well you will work on real things that people have actually requested for and that people will start using as soon as you are done work is challenging but not to expect highly technically complex stuff most of the work has to do with solving everyday problems to me this seems to make sense because i have ever tried working on experimental projects before elsewhere and i did not feel it was a good use of my time internal mobility is a key strength of amazon and i am not sure which company has done better than amazon in this aspect internal moves are easy you only need to stay in your team for a year before moving to a different team there is no easy way to tell which team is a good team to move to because they all have their different pros and cons and people and coming and leaving all the time seattle is by much rumour an easier place to live than the bay area overall amazon is a tough but yet sane place to work the flexibility of this company is really its core strength you have the freedom to excel as much as you want and also to slack as much as you want bummer you shouldnt be slacking,beware of bad managers and horrible team mates they are not specific to amazon but they do exist in amazon i have to admit that monday is usually a blue day at amazon and it is very tough to look forward to getting into office i dont know anyone in amazon who looks forward to getting in on mondays be realistic about sde requirements coding skills are good to have but they are not the most important part of your job i think we are hearing the same thing from every company medical coverage is average or below average expect to pay about $60 per month for singles and about $240 per month for families $240 per month for families gives you $3000 in medical fees before you have to pay more anything outofpocket sde advancement is unreal difficult they have about 6 levels total sde 14 then senior principal engineer and finally distinguished engineer the number of sde 1s and 2s are huge trying to get to sde 3 seems to be allofasudden extremely difficult but not impossible so this essentially means that if you come to amazon as a fresh grad sde expect to get about only one or two promotions in your entire career which obviously is quite a lame expectation and reality you will probably do much better in your career advancement anywhere else employee retention is horrible i am not sure why the philosophy seems to be trying to undercut existing employees and then hire from external sources management all say that they are trying to retain people but actions dont seem to suggest anything better rumour has it that annual pay raises are horrible this basically mean that either you are a superstar in the company before they will try to retain you or if you are smart you should not stay in amazon for too long
Amazon,4,2017-05-15,warehouse associate full time for over two years,tier i warehouse associate,former employee more than 1 year,"Carlisle, PA",great starting pay and the ability to get raises very quickly full training in all areas are offered and if your willing to work hard and sweat everyday for 10 hours a day 4 days a week then this is the job for you the 4 day weeks go by quick it can be exhausting so proper rest and a healthy lifestyle will help you stay strong within this company beat benefits as well once you are a hired on as a full time employee,after 3 years of working with the company you cap out at $1575 meaning you can no longer make any more money than that as a tier 1 associate your expected to want to move up in the company and that is the only way to make a better hourly wage by advancing into management and operations management positions if there are any openings
